time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
35.68,19.5565060622906,1.94695054275953,-4.81187209175679,-30.790920051877,16.6997594430924,0.0248643709700638,37.9099310796345,-5.88268242774881,-4.37099132172585,-86.5260747609954,22.1817443446833,-1.27880128320619
35.685,19.0561273693125,1.70123226805272,-4.56832182517852,-30.0181715042035,16.4214455128392,-0.0760270422762738,38.6241465785414,-5.64901870551007,-4.55661241789361,-86.9532644613631,22.403106447717,-1.06731216516012
35.69,18.5632138336374,1.44731707607208,-4.33415234821368,-29.2516967180588,16.147878336221,-0.175860636772146,39.330056884541,-5.41505131567341,-4.7426277607869,-87.301374735471,22.6136690316684,-0.799756656735517
35.695,18.078144595797,1.18599227404331,-4.11046270581247,-28.4931855904314,15.8803392666176,-0.273121949510653,40.0268487569859,-5.18157394073921,-4.92890204301402,-87.5711553947858,22.8153459013725,-0.483267962125998
35.7,17.6013489657614,0.918068971681725,-3.89822493159342,-27.7443693886314,15.6200675505983,-0.366366596120986,40.7136447723237,-4.94930717552815,-5.11526402397942,-87.7635342903976,23.0098115903987,-0.125463872241583
35.705,17.1333075545999,0.644373185657277,-3.69826624004417,-27.007003646293,15.3682437438837,-0.454247684540344,41.3895162101064,-4.71889074708906,-5.30150400701907,-87.8796170913593,23.1984755816085,0.265755204907366
35.71,16.6745513773432,0.365738625649382,-3.51125335180774,-26.2828510404062,15.1259741603449,-0.535542380172521,42.0534962783131,-4.49087831624123,-5.48737085828023,-87.9206895354473,23.3824660335338,0.682404841414584
35.715,16.225658793037,0.0830012175251659,-3.33767932171775,-25.5736644427131,14.8942767818982,-0.609176934558601,42.7045932836921,-4.26573486376529,-5.67256884834417,-87.8882218318774,23.5626226828413,1.11660671809134
35.72,15.7872502103386,-0.203004682221632,-3.17785320017547,-24.8811703064974,14.674069004541,-0.674249511657202,43.3418033918808,-4.04383656573751,-5.85675463334309,-87.7838748032885,23.7394983670626,1.56076558980913
35.725,15.3599805541883,-0.491448523880796,-3.03189281400901,-24.2070525198125,14.4661575286923,-0.730050187423869,43.964122669529,-3.82547296959594,-6.03953471362776,-87.6095072749192,23.9133684252356,2.00772892519404
35.73,14.9445295584034,-0.781504484047638,-2.8997209039424,-23.5529368294184,14.2712306254521,-0.776077556247081,44.5705581545048,-3.61085120016984,-6.22046371247888,-87.3671841553527,24.0842470875198,2.45092569768678
35.735,14.5415900178999,-1.07235136848378,-2.78106480315973,-22.9203759167384,14.0898529300755,-0.812051448088182,45.1601377587775,-3.40010185798499,-6.39904380280323,-87.0591846083534,24.2519098559601,2.88448152230838
35.74,14.1518542002821,-1.36317184926493,-2.67545978622323,-22.3108351884429,13.9224628351345,-0.837921338959661,45.7319188700776,-3.19328622464093,-6.57472557506365,-86.6880096913833,24.4159208037704,3.30330809668023
35.745,13.7759986778172,-1.65315141301897,-2.58225616055114,-21.7256793300908,13.7693724819164,-0.853870121701138,46.2849955810251,-2.99040436399623,-6.7469105855852,-86.256388834276,24.5756636765342,3.70316568778737
35.75,13.4146678959536,-1.94147739959186,-2.50063011368421,-21.1661596618923,13.6307702805682,-0.86031299267897,46.8185045357096,-2.7914037029567,-6.91495575400609,-85.7672845504836,24.7303756640494,4.08069818584902
35.755,13.0684568427562,-2.22733849288294,-2.42959826752659,-20.6334023313361,13.5067258263829,-0.857891303566217,47.3316294409992,-2.59618768951592,-7.07817969720982,-85.2238948109994,24.8791827263708,4.43344100810136
35.76,12.7378932243816,-2.50992499217148,-2.36803582405643,-20.1283973782058,13.3971970198035,-0.847461326998561,47.8236043405482,-2.4046241550423,-7.23587100052354,-84.6296525644082,25.0211354025204,4.7598028661419
35.765,12.423419584368,-2.78843014687118,-2.31469811477453,-19.6519887129051,13.3020391399543,-0.830077991246217,48.2937157915828,-2.21655304927958,-7.38729834040198,-83.9882219525348,25.155244104545,5.05902309773879
