time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
144.035,-92.7429613778801,-20.9226926727733,72.1561054985763,204.24789589581,-260.090059435826,-64.3193996241563,-50.8119565987436,49.6824516628575,-21.940162546966,292.686569312665,-73.0158626505801,-35.5271138279004
144.04,-88.2533588271912,-17.4852089668893,71.8673339330106,197.355468551223,-271.023392775941,-65.4821179535503,-60.3273634774902,51.053213506874,-13.8063321368917,293.86484862717,-76.1104013387566,-48.3428685057691
144.045,-83.1559340045314,-13.9131920077005,70.9575104562427,188.482281813972,-279.767984142924,-65.5665920652729,-69.7088900349721,52.0965565071365,-5.51433974592119,293.691845969889,-77.9230563922736,-60.6632523750938
144.05,-77.4510740065296,-10.2111096803192,69.3991643598894,177.597365354117,-286.093410836989,-64.5961544870725,-78.910272366489,52.7625433796197,2.87669797441281,292.241950418753,-78.4839064133791,-72.4275806481523
144.055,-71.1433251107343,-6.39033299753362,67.1757949057638,164.69165373682,-289.801202632529,-62.6191329014587,-87.882743179647,53.0106012657724,11.3029340002308,289.599944741331,-77.8459238624323,-83.5803758006245
144.06,-64.2413683681185,-2.47000320564486,64.282872126013,149.778977012212,-290.729815833216,-59.7081753800589,-96.575523796727,52.8109548155064,19.6960315814943,285.859749818834,-76.0836180488851,-94.0706179641441
144.065,-56.757994008303,1.52239217385178,60.7285674983525,132.896748788633,-288.758974350233,-55.9588759928629,-104.936432020304,52.1457496491675,27.9835947618907,281.123050183056,-73.2911550790315,-103.851078270482
144.07,-48.7100797949148,5.55078050245122,56.5341821451414,114.106329731612,-283.813255523428,-51.4877242459615,-112.912603804709,51.0098228519691,36.0898015161922,275.497829819443,-69.5800081826267,-112.877771329371
144.075,-40.1185769024706,9.57063625236785,51.734248641772,93.4930492532442,-275.864814444616,-46.4294265284276,-120.451322381325,49.4110879313926,43.9362440786894,269.096848513752,-65.0762059328903,-121.109556644549
144.08,-31.0085048709583,13.5295038272752,46.3762918729878,71.1658733597777,-264.935159774338,-40.933671036551,-127.500943805442,47.3705138864732,51.4429722003213,262.036089213485,-59.9172578247076,-128.507911767379
144.085,-21.4089547711688,17.3679146235943,40.5202442925992,47.2567121398093,-251.09591595822,-35.1614282072006,-134.011902953072,44.9216913049725,58.5297259519894,254.433206177933,-54.2488460369426,-135.036892404356
144.09,-11.3530970063486,21.0206852084567,34.2375211085602,21.9193661490405,-234.468530714429,-29.280895619565,-139.937779015099,42.1099922750589,65.1173356589449,246.406002185393,-48.2213786455824,-140.663286662085
144.095,-0.878187358433546,24.4185665315708,27.6097710601141,-4.67188306955676,-215.222911940714,-23.4632090134119,-145.236394779877,38.9913448806485,71.1292579726347,238.070960860901,-41.9865028316211,-145.356962256255
144.1,9.97443786100548,27.4901977037938,20.7273283136375,-32.3240269558133,-193.575004013835,-17.878049054121,-149.870919720959,35.6306566169827,76.4932093326723,229.541857396003,-35.6936765605683,-149.091396878524
144.105,21.1593892042522,30.1643028344219,13.6874003021559,-60.8274107934497,-169.783339167826,-12.6892763920773,-153.810943344317,32.0999336821555,81.1428515000815,220.928467672858,-29.4868937112328,-151.844373042589
144.11,32.6272877694354,32.3720564461292,6.59203478708552,-89.9581176147526,-144.144624768553,-8.05072528744994,-157.033482620883,28.4761542656048,85.0194787674719,212.335392211339,-23.5016507626757,-153.598809776113
144.115,44.3248803936052,34.0495327284229,-0.454083250637263,-119.480625094342,-116.988451517141,-4.10227879909515,-159.523885867069,24.8389632087325,88.0736531270102,203.861007579315,-17.8622331769204,-154.343694878284
144.12,56.1952221945286,35.1401468977271,-7.34594836084676,-149.150699262788,-88.6712306003325,-0.966336822043869,-161.276595386544,21.2682623638619,90.2667322959816,195.59655410479,-12.6793870722649,-154.075073823258
144.125,68.1779417668196,35.5969936259372,-13.9806042435903,-178.718482884467,-59.5694891412935,1.25522701827857,-162.29573280095,17.841775327463,91.5722361862928,187.625365075181,-8.0484274888525,-152.797045723892
144.13,80.2096024135008,35.3849881349869,-20.2595031129877,-207.931730542725,-30.0726723371049,2.48354138025699,-162.595474466696,14.6326667885996,91.9770001976584,180.022239266808,-4.04781948938128,-150.522713980578
144.135,92.2241693868358,34.4827202078163,-26.0907913115796,-236.539136994316,-0.575616487988375,2.66458716901819,-162.200189741717,11.7072954337676,91.4820685573227,172.852955741484,-0.738253367974512,-147.275039699845
144.14,104.153588357461,32.8839399381773,-31.391459261763,-264.293700438438,28.5291312324739,1.77038254631984,-161.144321973857,9.12317518209024,90.1032876711944,166.173927440864,1.83777918467943,-143.087549372204
144.145,115.928474563247,30.5986062633732,-36.0892972572875,-290.95605832958,56.8589636455745,-0.200515520139893,-159.472000602023,6.92721256835269,87.8715678610902,160.031988206759,3.6559149486679,-138.004853965957
