time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
35.19,0.195853594177148,-0.0500575368452285,0.0103310902151241,0.176917036996033,0.010686767276978,0.00394887143505651,-0.384667859543156,-0.228042751851685,-0.00464760011361618,-0.071138144739522,-0.636734471162918,0.245269726411731
35.195,0.172336857880105,-0.0441386933617329,0.00954867001926049,0.161603894332825,0.00897594318442036,0.0039485572654688,-0.378508204722771,-0.219392743335421,-0.00643312075666767,-0.0812550275695195,-0.629553096293968,0.244273538451737
35.2,0.147877751174842,-0.0376408583917287,0.00868521977973809,0.144706700507376,0.00718671309771781,0.00392853138136323,-0.373572219270426,-0.210775723567984,-0.00812758420415723,-0.090855901815828,-0.623265470005048,0.243544879609359
35.205,0.122706927565623,-0.0306555519840203,0.00776607573857861,0.126316543888834,0.00540042928218908,0.00387275713727443,-0.369888833072601,-0.202279508420193,-0.00973344082238612,-0.100013488803801,-0.617911068161924,0.243104191083946
35.21,0.0970724620991896,-0.0232822421053122,0.00681810675876095,0.106534360722202,0.00370019571914647,0.00376463046925715,-0.367467564964534,-0.194000512159612,-0.0112529891048366,-0.108798615460602,-0.613540267321022,0.242977421115817
35.215,0.0712344111055099,-0.0156262831486735,0.00586905000170679,0.0854703094365334,0.00216826922672078,0.00358753449564613,-0.36629604651526,-0.186041807841071,-0.0126883505988628,-0.117278867250672,-0.610215831475862,0.24319640438831
35.22,0.0454585644476036,-0.00779661518816061,0.00494675924441329,0.063243158916845,0.000883410444333265,0.00332544648771224,-0.36633802278606,-0.178510882973768,-0.0140414296294955,-0.125517299121027,-0.60801398534347,0.243799048435772
35.225,0.0200095296122673,9.67351399616717e-05,0.00407838179446499,0.0399797009381775,-8.17797620364646e-05,0.00296359105677182,-0.367531955924414,-0.171517128400355,-0.0153138624880934,-0.13357124361082,-0.60702497356749,0.244829290738771
35.23,-0.00485667372558949,0.00794529867794179,0.0032894853753183,0.0158141987400789,-0.000663499414867857,0.00248913058578618,-0.369790342717232,-0.165169107873801,-0.0165069616546219,-0.141491252947423,-0.607353014593607,0.246336794390478
35.235,-0.0289002931222226,0.0156448865730156,0.00260316162287788,-0.00911211428858339,-0.000809316757690921,0.00189188086202519,-0.372999838558311,-0.159571663861012,-0.0176216614174777,-0.149320209011499,-0.609115571770962,0.248376356344343
35.24,-0.0519055486438625,0.0230983136054116,0.00203913768678161,-0.0346514700177146,-0.000480625852225584,0.00116503669463859,-0.377022257468937,-0.154822921356313,-0.0186584718655488,-0.157092631281987,-0.61244188234644,0.251007010256532
35.245,-0.0736880896230354,0.0302180328568122,0.00161293157758831,-0.0606499180370544,0.000345066160133358,0.000305889199908369,-0.381696490525601,-0.151011255854657,-0.0196174485500294,-0.164834207938795,-0.617470707109269,0.254290815648451
35.25,-0.0941019105394645,0.0369285837447826,0.00133509004846915,-0.086947577904093,0.00167207691289342,-0.000683486405003745,-0.386841353135469,-0.148212294185848,-0.0204981850415471,-0.172561568904138,-0.624347288932416,0.258291336244431
35.255,-0.113045425824286,0.0431687495155602,0.00121054965595972,-0.11337877512012,0.00348477178424384,-0.0017955960476995,-0.392259335342186,-0.146486017856974,-0.0212998350553002,-0.180282311606824,-0.633219536542232,0.26307182248778
35.26,-0.130466407264404,0.0488933180367723,0.00123816193591129,-0.139772047783854,0.00574613373953485,-0.00301697037675038,-0.397741189681818,-0.145874038190935,-0.0220211697384606,-0.187995280795847,-0.644233479543585,0.268693125920784
35.265,-0.146365504554245,0.0540743419054235,0.00141042211782195,-0.165950015966348,0.00839674162681988,-0.00432771287668504,-0.403071249716459,-0.146397111219729,-0.0226606741192085,-0.195691093266035,-0.657528070925226,0.275211385793469
35.27,-0.160798100228624,0.0587018011188177,0.00171343729112977,-0.191729113204058,0.0113542159709766,-0.0057011786609471,-0.408033331575345,-0.148052958303954,-0.023216684670218,-0.203352887626803,-0.673229442805699,0.282675540387373
35.275,-0.173874294996287,0.0627835843217011,0.0021271643022448,-0.216919189152292,0.0145131860789852,-0.00710380889774525,-0.412417033363719,-0.150814456036871,-0.0236875675532276,-0.21095726915643,-0.691444748903061,0.291124726566658
35.28,-0.185756878036654,0.0663447232067358,0.00262593985109992,-0.241323004250852,0.0177458241069725,-0.00849514343502331,-0.416024215956977,-0.154628256255883,-0.0240719345289145,-0.218475411266995,-0.712255752044807,0.300585640508987
35.285,-0.196657208085072,0.0694258390143699,0.00317931531333232,-0.264735650923296,0.0209029805520969,-0.00982803055697161,-0.418675425973912,-0.159413893866495,-0.0243688908933722,-0.225874268937774,-0.735712336018744,0.311069940001827
35.29,-0.206829013336575,0.0720807899584941,0.0037531968859773,-0.286943950873432,0.0238159414781988,-0.0110490479407058,-0.420216009480376,-0.165063436445817,-0.02457830728926,-0.233117856147238,-0.761826137389605,0.322571773778587
35.295,-0.216560208807703,0.074373543167052,0.00431127800198013,-0.307725893788452,0.0262988108935163,-0.0120991428645181,-0.420521664237416,-0.17144172483254,-0.0247011049676372,-0.240168538966684,-0.790564503921061,0.335065525865876
35.3,-0.226162925529477,0.0763743333847049,0.00481673596348889,-0.326850198368344,0.0281515024821293,-0.012914492689953,-0.41950318920014,-0.178387247606749,-0.0247395421517825,-0.246988298319838,-0.821844991467455,0.348503862660693
35.305,-0.235962042830571,0.0781552118828724,0.00523414891012682,-0.344076091086733,0.0291633039399134,-0.0134275788062037,-0.417110211804377,-0.185713683952565,-0.0246974876576549,-0.253539920904957,-0.85553061032066,0.362816167383817
35.31,-0.246282608439714,0.0797851310454624,0.00553157319142589,-0.359153410339524,0.0291169552455902,-0.013568458858042,-0.413333705038266,-0.193212138373312,-0.0245806669172951,-0.25978808268019,-0.891426024867655,0.377907440673719
